"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"nome_key";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"Nome.candidato";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA"
250000038397;"MARIA APARECIDA GONÇALVES DE ARAÚJO";"#NULO#";"PSDC";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"DIRETOR DE ESTABELECIMENTO DE ENSINO";"APTO";"N";"MARIA APARECIDA GONÇALVES DE ARAÚJO";220000;216;"NÃO ELEITO";"MARIA APARECIDA GONÇALVES DE ARAÚJO";2898,66;"Fundo Partidario, Outros Recursos";"Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas"
250000010834;"LUIZ DE ARAUJO JUNIOR";"#NULO#";"PPS";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";"N";"LUIZ DE ARAUJO JUNIOR";539968,96;1779;"SUPLENTE";NA;NA;NA;NA
250000020843;"LUIZA NAGIB ELUF";"#NULO#";"PSD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";"LUIZA NAGIB ELUF";2398181,7;5807;"SUPLENTE";"LUIZA NAGIB ELUF";210935,75;"Outros Recursos, Fundo Partidario";"Recursos de outros candidatos, Recursos de pessoas físicas, Recursos de partido político"
250000040587;"CLAUDETE MARIA MARTINS";"#NULO#";"SD";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"COMERCIANTE";"APTO";"N";"CLAUDETE MARIA MARTINS";NA;190;"NÃO ELEITO";"CLAUDETE MARIA MARTINS";6005;"Fundo Partidario";"Recursos de partido político"
250000027281;"CARMEN MARIA UCHOA FERNANDES";"#NULO#";"PRP";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";"CARMEN MARIA UCHOA FERNANDES";220000;283;"NÃO ELEITO";NA;NA;NA;NA
250000010874;"ADEMIR DA GUIA";"#NULO#";"PHS";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";"ADEMIR DA GUIA";611504,85;3166;"SUPLENTE";NA;NA;NA;NA
250000011679;"MARCO AURELIO RODRIGUES DE ARAUJO";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ENGENHEIRO";"APTO";"N";"MARCO AURELIO RODRIGUES DE ARAUJO";133155,05;1365;"SUPLENTE";"MARCO AURELIO RODRIGUES DE ARAUJO";1500;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas"
250000010870;"EDICARLOS DE OLIVEIRA SANTOS";"#NULO#";"PHS";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DIVORCIADO(A)";"PARDA";"REPRESENTANTE COMERCIAL";"APTO";"N";"EDICARLOS DE OLIVEIRA SANTOS";69000;4069;"SUPLENTE";NA;NA;NA;NA
250000006153;"VALMIR FERREIRA DOS SANTOS";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"COMERCIANTE";"APTO";"N";"VALMIR FERREIRA DOS SANTOS";NA;660;"NÃO ELEITO";"VALMIR FERREIRA DOS SANTOS";10025,59;"Outros Recursos";"Recursos próprios, Recursos de partido político"
250000006181;"EDENILDA DAS NEVES CARNEIRO SOUSA";"#NULO#";"PC do B";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ASSISTENTE SOCIAL";"APTO";"N";"EDENILDA DAS NEVES CARNEIRO SOUSA";NA;1467;"NÃO ELEITO";"EDENILDA DAS NEVES CARNEIRO SOUSA";40619,25;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político"
