"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"ST_REELEICAO"
250000754048;"ALEXANDRE MARIANO GENTIL";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";2320313,12;8480;"SUPLENTE";126483,84;"OUTROS RECURSOS";"Recursos próprios, Recursos de outros candidatos";"N"
250000754030;"PAULO ROBERTO CONCEIÇÃO";"#NULO";"PSL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";39016,25;1527;"SUPLENTE";400;"OUTROS RECURSOS";"Recursos de pessoas físicas";"N"
250000754013;"ELIAS ASSIS NETO";"#NULO";"PSL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"DIRETOR DE EMPRESAS";"APTO";35500;6230;"SUPLENTE";20440;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de partido político, Recursos de outros candidatos";"N"
250000688241;"NAOMY SCHÖLLING";"#NULO";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS";"APTO";1754066,44;2352;"SUPLENTE";44746,74;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250000688246;"JANAINA CARLA DE LIMA";"#NULO";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";26184,63;30931;"ELEITO POR QP";964237,48;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000688232;"JOÃO MARCELLO ORTEGA DE ARAUJO";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";543288;2563;"SUPLENTE";16208,91;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios, Recursos de Financiamento Coletivo";"N"
250000688222;"DAVID ZYLBERGELD NETO";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";2368866,53;1656;"SUPLENTE";11076,24;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000919191;"JARKSON PEREIRA DOS SANTOS";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";NA;1878;"SUPLENTE";53264,11;"OUTROS RECURSOS, FUNDO ESPECIAL, FUNDO PARTIDARIO";"Recursos de pessoas físicas, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250000919232;"ISABEL CRISTINA DA SILVA MARCELINO VIEIRA";"#NULO";"PSDB";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PRETA";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";"APTO";NA;2303;"SUPLENTE";130217,07;"OUTROS RECURSOS, FUNDO ESPECIAL, FUNDO PARTIDARIO";"Recursos de pessoas físicas, Recursos de partido político";"N"
250000919174;"MARIA DE JESUS LOPES MARTINS SILVA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";347661,59;378;"SUPLENTE";0;"#NULO";"#NULO";"N"
