"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA"
250000006158;"MARTA LUCAS DOS SANTOS";"#NULO#";"PC do B";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PRETA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";2e+05;"NÃO ELEITO";2634;33781,25;"Outros Recursos, Fundo Partidario";"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000006205;"WANDERLEY LEMES TEIXEIRA";"#NULO#";"PC do B";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"NÃO ELEITO";11015;49668,8;"Outros Recursos, Fundo Partidario";"Recursos de pessoas físicas, Recursos de partido político"
250000006148;"ITAMAR SANTOS SESSENTA";"#NULO#";"PC do B";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";"N";6000;"NÃO ELEITO";1072;20736,35;"Outros Recursos, Fundo Partidario";"Recursos próprios, Recursos de partido político"
250000019205;"VILZA CARLA BORGES DE AZEVEDO";"#NULO#";"PTB";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"SUPLENTE";166;NA;NA;NA
250000005784;"DIOGO RIBEIRO DA LUZ";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";14707865,71;"SUPLENTE";6062;323640,34;"Outros Recursos";"Recursos próprios, Recursos de pessoas físicas"
250000011702;"AURELIO GIUSEPPE BARBATO";"#NULO#";"PV";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";446903,96;"SUPLENTE";181;800;"Outros Recursos";"Recursos próprios"
250000058394;"MARIO MAEDA JUNIOR";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"APTO";"N";NA;"SUPLENTE";3219;3958,09;"Outros Recursos, Fundo Partidario";"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos"
250000014867;"MUNA ZEYN";"#NULO#";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ASSISTENTE SOCIAL";"APTO";"N";1380000;"SUPLENTE";3762;61180;"Outros Recursos, Fundo Partidario";"Recursos de origens não identificadas, Recursos de partido político, Recursos de pessoas físicas"
250000022148;"JOSÉ DE PAULA NETO";"#NULO#";"PDT";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PRETA";"CANTOR E COMPOSITOR";"APTO";"N";23060,37;"SUPLENTE";20328;141867,42;"Outros Recursos";"Recursos próprios, Recursos de outros candidatos, Recursos de partido político, Recursos de pessoas físicas"
250000050199;"DOROVALDO ANTONIO ZOCCA";"#NULO#";"PSL";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DIVORCIADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";NA;"NÃO ELEITO";361;NA;NA;NA
